replay_buffer/size,trainer/QF1 Loss,trainer/min QF1 Loss,trainer/QF2 Loss,trainer/min QF2 Loss,trainer/Std QF1 values,trainer/Std QF2 values,trainer/QF1 in-distribution values Mean,trainer/QF1 in-distribution values Std,trainer/QF1 in-distribution values Max,trainer/QF1 in-distribution values Min,trainer/QF2 in-distribution values Mean,trainer/QF2 in-distribution values Std,trainer/QF2 in-distribution values Max,trainer/QF2 in-distribution values Min,trainer/QF1 random values Mean,trainer/QF1 random values Std,trainer/QF1 random values Max,trainer/QF1 random values Min,trainer/QF2 random values Mean,trainer/QF2 random values Std,trainer/QF2 random values Max,trainer/QF2 random values Min,trainer/QF1 next_actions values Mean,trainer/QF1 next_actions values Std,trainer/QF1 next_actions values Max,trainer/QF1 next_actions values Min,trainer/QF2 next_actions values Mean,trainer/QF2 next_actions values Std,trainer/QF2 next_actions values Max,trainer/QF2 next_actions values Min,trainer/actions Mean,trainer/actions Std,trainer/actions Max,trainer/actions Min,trainer/rewards Mean,trainer/rewards Std,trainer/rewards Max,trainer/rewards Min,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/policy fn evaluation (s),time/training (s),time/epoch (s),time/total (s),Epoch
999981,37.677948,27.376753,37.68918,27.376581,0.000157981,0.00015410798,0.0033280156,0.0012421978,0.005770033,0.0005343226,0.0012733738,0.0011806046,0.004531455,-0.0009464702,0.0033239468,0.00124383,0.005732094,0.0004505738,0.0012736504,0.0011808986,0.004546526,-0.0008794806,0.0033212774,0.0012349386,0.0057186857,0.0005299526,0.0012753397,0.0011718766,0.004531155,-0.001019906,0.049949627,0.6162331,0.9969019,-0.99999374,3.070662,0.9513463,4.4419785,0.7636309,1,1,-2.0135796,0.0033564975,0.0011981858,0.005601395,0.0007769441,0.0013418407,0.0011494107,0.004318594,-0.00067155145,3.0686529,0.9513559,4.4404793,0.76124686,-2.0123067,0.37301183,-0.90943146,-2.6125069,-0.000602554,0.0009515851,0.0008200507,-0.0025395297,-0.00093556545,0.0018156043,0.0021277103,-0.003323326,0.9999000430107117,-0.0,995,133,7.481203007518797,0.6558184206723766,9,6,0.5895417357743458,0.23075530328752494,0.9826149821523708,-0.09941770755780753,4.410481406732887,0.6244136352493905,6.21148879204613,3.1210170227989167,-0.31766993,0.6183712,0.99900776,-0.9986439,133,4.410481406732887,947,7,135.28571428571428,8.971610553204332,150,125,0.914596574066653,0.08866006975146976,1.0075817613403741,0.46366746383905616,123.73185080587434,7.229992175500064,134.38363577294334,113.45554621974799,-0.0007203868,0.00082752964,0.00030582186,-0.0018867819,7,123.73185080587434,3.7628689859993756,0.006787495978642255,0.8286632720264606,69.2732610309613,73.87158078496577,80.49964112695307,0
999981,23.021343,16.864124,22.511545,16.178715,1.9361486,2.0673208,6.819954,5.5155244,20.776241,-1.2612753,6.719035,5.755309,21.291672,-2.2983503,5.607949,5.5503235,19.721992,-1.2572321,5.393499,5.8412733,20.912891,-2.313048,6.7439713,5.5451093,20.927595,-1.2315044,6.6662126,5.801457,21.026789,-2.4387047,-0.006362962,0.63397074,0.99905854,-0.99999774,3.1968818,0.82752186,4.4926515,0.7437215,1001,1001,-7.8209443,9.141987,4.981137,20.429567,-0.07026803,9.250683,5.085125,19.996305,-0.6376028,9.731399,4.9239945,20.092815,1.6315451,-1.5933383,1.0409567,2.514808,-3.951985,-0.012630134,0.3826233,0.94410485,-1.5116949,-0.2103501,0.3479496,0.73280233,-0.97726214,0.9062038660049438,-0.4519541561603546,1879,137,221.0,10.488088481701515,237,209,2.892625385097543,1.069064170056231,5.173829917291891,0.831666880527573,639.2702101065568,40.80936642348478,685.1396719694478,573.6700989916704,0.062307544,0.62162495,0.9986941,-0.9999996,4,639.2702101065568,1925,26,51.473684210526315,0.6781104593013224,53,50,1.7739872190864459,0.48493164377209336,2.6930426985602702,0.9986628626109821,91.31365790876548,1.567154108754134,94.76096488695117,87.92471461277464,0.122339725,0.122265205,0.37566203,-0.34268558,19,91.31365790876548,3.4546573509578593,0.005054180044680834,0.8516575139947236,69.11434767197352,73.42571671697078,153.92733455396956,1
999981,25.803476,16.318176,25.53458,16.20229,2.579132,2.7411697,8.655805,9.933569,31.08872,-8.457929,8.588733,10.096921,31.748812,-8.745407,6.7224665,10.015547,31.425922,-8.674373,6.4596863,10.250407,31.145647,-8.906819,8.505544,9.948503,31.368454,-8.433307,8.445091,10.116122,31.798653,-8.890509,-0.039707344,0.613901,0.99955505,-0.9997405,3.2440934,0.86261064,4.3395824,0.85544384,2001,2001,-10.001706,11.302144,9.198258,31.310457,-6.237345,11.302631,9.179893,31.065481,-6.451419,11.321211,9.525086,32.67446,-3.2083488,-1.2725309,1.0553132,3.179733,-3.5118175,-0.03515226,0.4484062,1.04398,-1.470016,-0.29279754,0.37730107,0.7647687,-1.1239711,0.8226035833358765,-0.8339321613311768,2658,141,194.75,55.051680265001906,251,104,2.863010169012172,1.0715900044486621,5.260914901127176,0.7753804572453492,557.5712304151203,200.25707415438532,718.6090206939883,215.36936985620622,0.06640827,0.6155038,0.9997897,-0.99998426,4,557.5712304151203,2777,31,170.4,5.0039984012787215,176,162,2.566411346779014,0.776220956498514,4.07348239779999,0.9974796409376707,437.31649349114394,17.196556279299195,455.5966551902591,406.72687161155613,-0.017713107,0.31479013,0.6870389,-0.9396837,5,437.31649349114394,3.3606832090299577,0.004695137031376362,0.8277821450028569,67.06745866296114,71.26061915402533,225.1901374339359,2
999981,26.637417,14.509075,26.305252,13.950642,3.125743,3.263248,8.142604,12.389496,38.880295,-16.3988,7.998929,12.538693,39.23163,-15.954009,5.0880647,12.668627,38.13075,-16.728436,4.783025,12.891517,38.91879,-16.740791,8.108833,12.368955,38.293243,-16.611021,8.020426,12.515575,39.197083,-16.085896,0.0006669189,0.6327479,0.99963623,-0.99999547,3.1841738,0.85816544,4.402857,0.81039447,3001,3001,-8.8340225,10.946812,11.6221895,38.28598,-6.901026,10.984523,11.626904,39.385887,-6.62293,10.923724,12.249825,41.200344,-11.511116,-1.2376932,1.2667801,3.709325,-4.2925906,0.03460964,0.54396886,1.370556,-1.6507827,-0.35135064,0.4148152,0.79634655,-1.2966517,0.7469950914382935,-1.235713005065918,3319,144,220.33333333333334,3.299831645537222,224,216,3.2087860851951064,1.169929636322827,5.467685184160005,0.8024228886279452,707.0025341046552,18.218849813186928,726.9847451882226,682.925152868707,0.04966397,0.61213744,0.99949414,-0.99999964,3,707.0025341046552,3707,33,465.0,96.0,561,369,3.1476408131158715,0.8601150867783345,4.81788219269706,0.9612617003303355,1463.6529780988806,302.43928746466577,1766.0922655635463,1161.2136906342148,-0.019952051,0.4045689,0.8407563,-0.9780665,2,1463.6529780988806,3.41288944799453,0.0024064749595709145,0.8238816019729711,67.59896197495982,71.83813949988689,297.03192633984145,3
999981,28.974724,15.849644,29.265911,16.062313,3.0597866,3.1561813,7.54858,15.881718,46.27197,-24.605286,7.51494,15.956196,46.460987,-25.476189,4.570823,16.162712,47.30558,-25.352688,4.3766885,16.253786,46.42866,-24.88117,7.5346007,15.664439,47.797543,-25.693596,7.444059,15.723361,47.075314,-25.401781,0.048585862,0.6092713,0.9999861,-0.9997873,3.1003282,0.8900889,4.3918304,0.84631336,4001,4001,-8.29533,9.981652,15.25406,47.4964,-15.241815,9.928475,15.2649765,46.792583,-15.090839,10.280897,15.926785,48.916153,-18.733627,-1.1731256,1.5131345,5.5060854,-5.067952,0.034650568,0.5554528,1.4560734,-1.8842732,-0.40225402,0.40195033,0.76387525,-1.303085,0.6784663796424866,-1.6184369325637817,4121,147,267.3333333333333,37.67698973585278,320,234,3.0263601211996325,0.9986187075583935,4.916602214418577,0.7547726493657159,809.0469390673683,139.80447250073067,998.2302473721245,664.7039764803169,0.07850935,0.6143853,0.9996969,-0.9999999,3,809.0469390673683,4706,35,499.5,69.5,569,430,3.1890148521137807,0.8070046275444495,4.973631494667063,0.9289872305333925,1592.9129186308337,205.412265491703,1798.3251841225367,1387.5006531391307,-0.03485151,0.43198478,0.91104436,-0.98887587,2,1592.9129186308337,3.464823456015438,0.004039208986796439,0.8488200420397334,68.41930572898127,72.73698843602324,369.7709959667991,4
999981,27.597195,14.078575,26.916939,13.299282,3.5351133,3.6824987,8.325856,17.873398,50.40599,-30.298422,8.169889,17.894989,49.801952,-30.727695,4.1735935,18.02936,47.149136,-31.763178,3.8349252,18.073616,47.94367,-31.325768,7.939101,17.912085,50.631233,-30.79461,7.7214746,17.96939,49.918175,-30.854555,0.0065084943,0.61322236,0.9981433,-0.99995553,3.104493,0.8451029,4.4520597,0.824873,5001,5001,-8.22909,10.734022,17.47834,48.546524,-17.982645,10.726917,17.376637,47.170406,-17.920504,11.047174,18.467903,51.663387,-24.545263,-0.829009,1.7401489,7.177827,-4.511914,0.0011196975,0.6355526,1.7180289,-1.8895097,-0.46984267,0.49344215,0.8763932,-1.4399668,0.6163288354873657,-1.8527705669403076,4963,151,210.5,45.94834055763059,240,131,2.631871155929219,0.8877155685888469,5.118354617407493,0.8178125788202554,554.0088783231008,156.2288238333364,656.8817196630429,283.7833411772999,0.1245125,0.62256074,0.99989104,-0.99996865,4,554.0088783231008,5363,36,657.0,0.0,657,657,3.1781316952218392,0.7232531858151379,4.801958951833733,0.897173351376335,2088.0325237607476,0.0,2088.0325237607476,2088.0325237607476,0.0038716332,0.45058885,0.9042158,-0.95868206,1,2088.0325237607476,3.385046483017504,0.004446942009963095,0.8152833710191771,67.15202556096483,71.35680235701147,441.12979387375526,5
999981,25.090233,13.415108,25.624706,13.409946,3.8312464,3.9549475,9.331601,19.81862,57.610363,-31.771471,9.194308,19.72635,57.430073,-31.082575,4.2795544,20.453676,56.74184,-33.98647,3.9364867,20.580837,56.63149,-32.403038,8.82091,19.645685,57.058804,-33.407326,8.696834,19.596415,57.413452,-31.997902,-0.005312408,0.61266446,0.99918634,-0.99998575,3.03354,0.8564105,4.3834987,0.8175498,6001,6001,-9.257835,11.360258,19.171942,57.730354,-22.399685,11.224098,18.891607,56.28322,-20.85371,12.406069,19.359644,56.35397,-29.559704,-0.38319796,1.6285235,4.6578965,-3.691835,-0.008693127,0.6873989,1.6785201,-1.9518808,-0.562709,0.48740116,0.8432561,-1.4982314,0.5598991513252258,-1.9619300365447998,5754,154,263.6666666666667,16.048537489614297,276,241,3.3760064967091954,1.2291979020005006,5.471440397577689,0.7271241612992388,890.1403796323248,73.74612679658313,958.1313517631726,787.6565178541327,0.014102493,0.6203328,0.99989206,-0.9999997,3,890.1403796323248,5893,37,530.0,0.0,530,530,3.0931636787259977,0.6399764132990601,4.230267430817861,0.8911811462740112,1639.3767497247786,0.0,1639.3767497247786,1639.3767497247786,0.016474256,0.4510905,0.91753685,-0.9623372,1,1639.3767497247786,3.460083631973248,0.0036672980058938265,0.8245311659993604,67.17807963502128,71.46636173099978,512.5980957397842,6
999981,24.219793,13.590759,24.079254,13.343277,4.042908,4.099199,15.992108,23.485968,67.28257,-33.027054,16.011023,23.46162,66.66548,-30.987936,10.771459,24.36216,65.66716,-39.582455,10.656222,24.695406,65.61374,-38.01552,15.758542,23.223421,65.580986,-37.21849,15.790009,23.219398,64.92035,-36.2148,0.029088998,0.6010755,0.9948708,-0.9999926,3.0872986,0.9194755,4.518206,0.7999335,7001,7001,-16.069086,18.175716,23.221975,66.163,-22.480171,18.177994,22.94839,63.646618,-22.277073,18.377712,23.025515,63.604256,-21.33444,-0.35886228,1.7608056,7.323924,-4.4549522,-0.0033214241,0.7033037,1.5914809,-2.3398123,-0.5817075,0.4911369,0.8403354,-1.6248176,0.5088392496109009,-2.269009590148926,6513,156,379.5,64.5,444,315,3.2467689230301264,0.9628231623301846,5.554938466653938,0.8156288116177203,1232.148806289933,223.30459443438474,1455.4534007243178,1008.8442118555483,0.06489298,0.62265354,0.99989504,-0.99999994,2,1232.148806289933,6875,41,245.5,3.2015621187164243,250,242,3.1488300359218213,1.1738788784724254,5.230684374648236,0.8699724294407636,773.0377738188072,17.522216641410687,796.6099472723472,753.5946149235466,0.004411511,0.48848495,0.9309747,-0.9984408,4,773.0377738188072,3.3697148289647885,0.005020317970775068,0.8243824529927224,67.25215842894977,71.45127602887806,584.0514769667643,7
999981,29.264566,14.014076,28.320341,13.87355,4.0827703,4.1872473,17.731146,22.404835,66.49722,-35.598663,17.871067,22.588667,67.94013,-35.206688,12.049077,22.92628,67.0632,-37.46767,11.974277,23.308588,66.261856,-37.01579,17.254583,22.434114,66.1933,-36.440536,17.308903,22.629967,67.31528,-36.12955,0.08698133,0.59344107,0.9987837,-0.99941546,2.9814367,0.92981875,4.42777,0.8208573,8001,8001,-17.586708,19.512875,22.04928,65.22573,-18.912767,19.666805,22.153347,66.40028,-18.890947,19.053865,22.87749,66.93638,-29.875563,-0.42734694,1.5225854,6.321108,-4.4909306,0.10199597,0.7140071,1.6777666,-2.4964683,-0.6618645,0.45560396,0.74866337,-1.6913934,0.4624548852443695,-2.6428682804107666,7250,158,368.5,118.5,487,250,2.9133918912885703,0.805057390926634,4.921260119734737,0.8042765488686231,1073.584911939838,301.50550828085153,1375.0904202206896,772.0794036589865,0.05797396,0.6090479,0.9998616,-0.9999506,2,1073.584911939838,7732,45,214.25,1.7853571071357126,217,212,3.0655256466985663,1.1001023521102198,4.988372500529535,0.8746164683213055,656.7888698051678,6.100920128073994,666.5722851775218,649.7878741570498,0.014934982,0.49643737,0.915823,-0.99548876,4,656.7888698051678,3.3934694950003177,0.0024207730311900377,0.8063300300273113,67.3993281230214,71.60154842108022,655.6567520419485,8
999981,22.842846,13.355194,22.312809,13.134254,3.936235,4.202672,22.524393,23.046856,73.60298,-29.584667,22.724371,23.267597,75.58672,-31.291798,16.787094,23.405178,73.54939,-33.977627,16.612797,23.941547,75.718155,-33.938995,21.945972,23.00922,73.461525,-31.19418,22.159943,23.33911,74.8952,-32.295803,0.030067997,0.5859493,0.9999628,-0.9999987,3.1602597,0.8748625,4.426485,0.764154,9001,9001,-22.00447,24.100574,22.871153,72.934975,-18.24317,24.40961,22.888945,74.55168,-17.608526,23.794895,22.586302,70.017395,-22.357824,-0.3361932,1.4947883,4.058625,-5.0446463,0.011334009,0.7692054,1.7378182,-2.6853614,-0.6589248,0.4854032,0.97016126,-1.6392695,0.4205390214920044,-2.889552593231201,8100,161,283.3333333333333,43.606829230701415,345,252,3.252811735350335,1.2788485667814777,5.833467205204453,0.7814298398098574,921.6299916825952,91.44073244590238,1050.1301275475114,844.8141910859334,0.011419373,0.61982405,0.9998589,-1.0,3,921.6299916825952,8512,48,260.0,3.265986323710904,264,256,3.357383182533396,1.2556279421181438,5.231361570711735,0.8670891159582894,872.9196274586833,17.73075583735402,894.9567490451072,851.5403954524335,-0.02532436,0.51448816,0.9551445,-0.9992262,3,872.9196274586833,3.3682327090064064,0.004794597974978387,0.8245652469922788,68.00932581099914,72.20691836497281,727.8658044828917,9
